geoQ_ID,Question,Answer
1,Area 51 is located in which U.S. state?,Nevada
2,"What country touches the Indian Ocean, the Arabian Sea, and the Bay of Bengal?",India
3,What's the smallest country in the world?,Vatican City
4,Which country borders 14 nations and crosses 8 time zones?,Russia
5,Havana is the capital of what country?,Cuba
6,What country has the most natural lakes?,Canada
7,Riyadh is the capital of this Middle-Eastern country.,Saudi Arabia
8,What is Earth's largest continent?,Asia
9,Which is the largest desert in the world?,Sahara
10,Name the river that is not crossed by any bridges.,Amazon
11,Name the city that is located in two countries or continent.,Istanbul
12,Which is the largest waterfall in the world? (by Height),Angel Falls
13,Which is the largest island in the world?,Greenland
14,Which African nation has the most pyramids?,Sudan
15,What razor-thin country accounts for more than half of the western coastline of South America?,Chile
16,Which country has the longest coastline in the world?,Canada
17,What is the largest country in South America?,Brazil
18,What continent contains the most freshwater?,Antartica
19,Which desert covers most of Northern Africa?,Sahara
20,Which continent has no rivers?,Antartica
