question_no,Question,Answer
1,What sport is best known as the ?king of sports??,Soccer
2,What is the national sport of Canada?,Lacrosse
3,What country has competed the most times in the Summer Olympics yet hasn?t won any kind of medal?,Liechtenstein
4,What does NBA stand for?,National Basketball Association
5,"In motor racing, what color is the flag they wave to indicate the winner?",Checkered flag
6,What color are the goalposts in football?,Yellow
7,In what game is ?love? a score?,Tennis
8,What sport is a lot like softball?,Baseball
9,"In soccer, what body part can?t touch the ball?",Hands
10,What sporting equipment is used for striking a tennis ball?,Tennis racquet
11,"Which sport uses a net, a racket, and a shuttlecock?",Badminton
12,"Which of the following sports does not use a ball? Golf, tennis, hockey, or polo?",Hockey
13,What type of race is the Tour de France?,Bicycle race
14,What is the only sport to be played on the moon?,A round of golf
15,In which winter sport are the terms ?stale fish? and ?mule kick? used?,Snowboarding
16,"During the first-ever modern Olympics, what were the first placers awarded with?",Silver medals
17,What team is considered the oldest in the NFL?,Green Bay Packers
18,What team won the very first NBA game in 1946?,The New York Knicks
19,What team owns the longest winning streak in NBA history?,Los Angeles Lakers
20,What retired basketball player tried out for the Chicago White Sox in 1994?,Michael Jordan
